sortie,parametre,test,statistique,p_value,R2_parametre,n,n_groupes,normalite_min_p,levene_p
rdt,prepa_2,Kruskal,891.7881604699562,5.983909487978896e-196,0.11007287900481857,10000,2,1.2870744129203392e-19,0.0
rdt,Jours_F1_F2,Kruskal,731.7906670871777,3.654524366490201e-161,0.09929068127157722,10000,2,7.858655925518078e-19,0.0
rdt,Dose_F2_1,Kruskal,666.9504225267634,4.600451331870987e-147,0.08475015077046533,10000,2,4.262070055701044e-20,1.0528663742604272e-269
rdt,type_f1_1,Kruskal,621.6326717101057,3.301092931569062e-137,0.08063171524036795,10000,2,8.011574838411678e-19,6.74766767950973e-265
rdt,nb_f3,Kruskal,569.2858943463345,4.5867479862438185e-123,0.06999558905034473,10000,4,1.9421576535087256e-20,4.2036643544167875e-184
rdt,type_f2_1,Kruskal,515.0335841501018,2.6337638570023473e-111,0.06767522881531568,10000,4,5.3011625429343123e-20,3.521264753559389e-229
rdt,type_f3_1,Kruskal,391.31812057973923,1.681358888861835e-84,0.05181393019159283,10000,4,2.6978610891892388e-20,4.2691763658523284e-160
rdt,Jours_F2_F3,Kruskal,339.87606264664447,6.789877921222172e-76,0.04750725551072095,10000,2,5.0093129159746646e-18,7.211582948524891e-175
rdt,nb_f2,Kruskal,319.41015244990325,1.9470772023541602e-71,0.04294082052956195,10000,2,2.2939927725121527e-19,9.806598954291067e-147
rdt,Jours_op_recolte,Kruskal,309.7290842482371,7.79848813717049e-67,0.04287254361617276,10000,4,1.3717850261466286e-21,7.809912299378828e-93
rdt,Dose_F3_1,Kruskal,305.92429296119354,1.686975309614157e-68,0.04129509197029266,10000,2,8.767414207948343e-21,3.68441164487895e-141
rdt,Dose_F1_2,Kruskal,335.820457805428,5.189396732473319e-75,0.04061095448126998,10000,2,5.343948255691295e-20,8.205638228600801e-104
rdt,Dose_F2_2,Kruskal,260.2731934589888,1.4961206231514119e-58,0.03427603935848806,10000,2,9.059295010730247e-20,1.145043154237293e-108
rdt,type_f3_2,Kruskal,221.0924801692783,1.1656177132579724e-47,0.030667031707500743,10000,4,7.864941399161474e-19,1.2361137806932198e-106
rdt,Jours_av_PREPA,Kruskal,480.62189775453805,4.308052246929272e-105,0.026389351221041774,10000,3,2.9926805359577994e-20,0.42539074328751847
rdt,has_prepa,Kruskal,373.6839346934122,2.9518746977139137e-83,0.02042260285582688,10000,2,3.362904570067734e-19,0.13449176500928683
rdt,Dose_F3_2,Kruskal,134.95193667479862,3.3825887036881787e-31,0.01891892131223764,10000,2,3.598057536225116e-19,5.423353209561667e-69
rdt,Jour_Semis,Kruskal,113.99919357474995,1.5119635395076127e-24,0.013331984904718291,10000,4,2.9147956706371695e-23,3.826315870056218e-53
rdt,prepa_1,Kruskal,202.57620569295108,1.1708421090526756e-43,0.010958269664009564,10000,4,1.7837944094058244e-19,0.7338334228662466
rdt,nb_prepa,Kruskal,131.7923963559085,1.6611338671753467e-30,0.007038637212575551,10000,2,4.61624039365618e-19,0.5878868462696056
rdt,type_f2_2,Kruskal,85.44767417835382,2.0799826541149924e-18,0.0042371437750582455,10000,4,1.7792041398843928e-19,0.6172295965114795
