sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
rdt,prepa_2,type_f2_1,0.11007287900481857,0.06767522881531568,0.15815590235981403,0.023103840293040134,0.18125974265285416,0.0,0.0,10000,2,4,8,7.0,9992.0
rdt,type_f1_2,nb_f2,0.15763151095703584,0.04294082052956195,0.16669757472655455,0.013245649415394856,0.1799432241419494,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,Dose_F3_1,0.15763151095703584,0.04129509197029266,0.1654326739298294,0.014303392908888712,0.17973606683871812,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,Jours_F2_F3,0.15763151095703584,0.04750725551072095,0.16845557029562286,0.01117263925085199,0.17962820954647485,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,nb_f3,Jours_F1_F2,0.06999558905034473,0.09929068127157722,0.15262213141062486,0.0244215345346237,0.17704366594524856,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,has_prepa,type_f1_2,0.02042260285582688,0.15763151095703584,0.17651645470628785,0.0004858216491434586,0.1770022763554313,0.0,0.0,10000,2,4,8,7.0,9992.0
rdt,type_f1_2,Dose_F2_2,0.15763151095703584,0.03427603935848806,0.163159891617622,0.013094381838751334,0.17625427345637334,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,Jour_Semis,0.15763151095703584,0.013331984904718291,0.17175701171039648,0.003890253078676742,0.17564726478907322,0.0,0.0,10000,4,4,16,15.0,9984.0
rdt,type_f1_2,type_f3_2,0.15763151095703584,0.030667031707500743,0.1638208111652032,0.011125238406139104,0.1749460495713423,0.0,0.0,10000,4,4,16,15.0,9984.0
rdt,prepa_2,type_f3_1,0.11007287900481857,0.05181393019159283,0.1451454121208492,0.024890679662866844,0.17003609178371604,0.0,0.0,10000,2,4,8,7.0,9992.0
rdt,prepa_1,type_f1_2,0.010958269664009564,0.15763151095703584,0.1681016682198001,0.0006789929819963625,0.16878066120179647,0.0,0.0,10000,4,4,16,15.0,9984.0
rdt,type_f1_2,Dose_F3_2,0.15763151095703584,0.01891892131223764,0.16125717360239633,0.006444556749123698,0.16770173035152003,0.0,0.0,10000,4,2,8,7.0,9992.0
rdt,nb_prepa,type_f1_2,0.007038637212575551,0.15763151095703584,0.16443566397736564,0.00016533922055639305,0.16460100319792204,0.0,0.0,10000,2,4,8,7.0,9992.0
rdt,nb_f3,Dose_F2_1,0.06999558905034473,0.08475015077046533,0.13793047455959773,0.02590783607831404,0.16383831063791177,5.148e-320,0.0,10000,4,2,8,7.0,9992.0
rdt,type_f1_2,type_f2_2,0.15763151095703584,0.0042371437750582455,0.16211636229109683,0.0004908374976017038,0.16260719978869853,0.0,0.0,10000,4,4,16,15.0,9984.0
rdt,type_f1_1,nb_f3,0.08063171524036795,0.06999558905034473,0.13545343175176472,0.025823810062401198,0.16127724181416592,8.5343235407e-314,0.0,10000,2,4,8,7.0,9992.0
rdt,Jours_F1_F2,Dose_F2_1,0.09929068127157722,0.08475015077046533,0.1372971709584604,0.023819771009762958,0.16111694196822335,2.525e-321,0.0,10000,2,2,4,3.0,9996.0
rdt,prepa_2,Jours_F2_F3,0.11007287900481857,0.04750725551072095,0.14318337787948965,0.016894153796490063,0.1600775316759797,0.0,0.0,10000,2,2,4,3.0,9996.0
