,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
type_f3_2,0.4326874320802152,0.049930160951996205,0.04890038841542632,0.05011410633059554,0.12019490116693199,0.19899173669731562,0.1278539547533366,0.18571473585161968,0.06259015934158096,0.10922608339796158,0.04902569692134595,0.09541104090855923,0.10454273029928485,0.0,0.050184711504402735,0.05051986883550719,0.4186211066145967,0.172136922527388,0.10585523369320515,0.26206720076112777,0.259399180518333,0.07522865059858419,0.12959910896693616,0.08611691322429771,0.09142981576803488,0.055919829351463335
Jour_Semis,0.4347332263201604,0.0031482760099029727,0.00230346157402872,0.0034476158243679222,0.07841827847747851,0.15985302275294988,0.08990427941891466,0.16097469069617298,0.06371330009855147,0.09332377530899982,0.002909266073515493,0.05226539162668453,0.06213916367577865,0.050184711504402735,0.0,0.004164286355992086,0.3901050905137958,0.1428447994628278,0.08526889791748138,0.21582315569223065,0.2267827130202208,0.030497586381076136,0.09391754729997293,0.041033920395438406,0.06192269082624802,0.029699034924529744
Jours_av_PREPA,0.43459424461999496,0.0021955040060775977,0.0023676247859061306,0.0027563353250718015,0.07890692693130552,0.15965562951683,0.09060815414234802,0.1608444445336319,0.06468269420218686,0.09344000041767742,0.0027062757371174584,0.05218683398440127,0.0613948901670377,0.05051986883550719,0.004164286355992086,0.0,0.3911255654972391,0.143152791763004,0.08562932718280458,0.2165793071429558,0.22713882014099185,0.030818909868113753,0.09510684397140357,0.04149916868207082,0.06210575127401452,0.03021767481085713
Jours_semis_F1,0.5761255922680413,0.38998856273771354,0.3884787663569562,0.39000680540721666,0.450282257905506,0.4837024437528704,0.44225321785584604,0.4809692264108204,0.43115389581913965,0.4468406861832057,0.38892751438186346,0.43327944145026187,0.4261543365981295,0.4186211066145967,0.3901050905137958,0.3911255654972391,0.0,0.4792884259265344,0.44436637081657093,0.6614251090803751,0.5003776113244522,0.4166152677568007,0.4454049411462333,0.41448820899016825,0.42602786256144043,0.4038069363004231
Jours_F1_F2,0.44216823884882495,0.14291846177945555,0.14167638230815283,0.1426221866412002,0.21409911413691496,0.28034524159097807,0.19450513897828514,0.22601609856007,0.18084981647542542,0.19820666783803476,0.14234179665520463,0.1892816795126655,0.17734536694236758,0.172136922527388,0.1428447994628278,0.143152791763004,0.4792884259265344,0.0,0.1951403343591258,0.3660441189858803,0.32529885653109325,0.1678863619436891,0.1917321127572864,0.16698265898372455,0.18046562564731994,0.15946162572286382
Jours_F2_F3,0.4360174670156296,0.08475124454947647,0.08379162237953719,0.08467249995319803,0.15189163438431919,0.23365991124153218,0.1499340314299692,0.20391194840294025,0.11149338908947926,0.12386427901987263,0.08391765333933643,0.12974643162501331,0.1298964949119671,0.10585523369320515,0.08526889791748138,0.08562932718280458,0.44436637081657093,0.1951403343591258,0.0,0.3017372809696529,0.28680391866356947,0.10909374504625258,0.15223199175825797,0.11472833130900295,0.11268295179731469,0.09525686352481477
Jours_op_recolte,0.7303480765062748,0.21477864121361323,0.21429236040751432,0.21464093959624397,0.30528722889627213,0.40751354302850473,0.31184608764327115,0.3865763999706464,0.27598275266308325,0.31004425554845516,0.21485999096896158,0.27214657344234816,0.2799482039722986,0.26206720076112777,0.21582315569223065,0.2165793071429558,0.6614251090803751,0.3660441189858803,0.3017372809696529,0.0,0.482250931947636,0.2474783520902416,0.31570824888738,0.2563635108704576,0.27443355401998215,0.2416492039044693
Dose_F1_1,0.4334963299392851,0.22651722130338903,0.22567822184081487,0.2266048218703195,0.2904292205606116,0.3302705799149671,0.2876102546046875,0.3277461639932878,0.2696519100585463,0.2938148194205802,0.22567562797653873,0.2712758446972725,0.2659870308399739,0.259399180518333,0.2267827130202208,0.22713882014099185,0.5003776113244522,0.32529885653109325,0.28680391866356947,0.482250931947636,0.0,0.2563855868481316,0.2874160884490804,0.25117186560182736,0.2644481338034901,0.24356669220309302
Dose_F1_2,0.4326645633965719,0.03006592146832876,0.029269595747217658,0.0302025354392782,0.07670638699692522,0.19380664837173767,0.11926793804786984,0.18644394971639044,0.08854353661879821,0.11611880036678723,0.02932724898290573,0.06007829109461316,0.09242603509764835,0.07522865059858419,0.030497586381076136,0.030818909868113753,0.4166152677568007,0.1678863619436891,0.10909374504625258,0.2474783520902416,0.2563855868481316,0.0,0.12082003327961444,0.06871114404594847,0.0860792189033538,0.05629539460037636
Dose_F2_1,0.43246719764839026,0.09435124287410623,0.09324393325800195,0.0943254961110146,0.16808488039620895,0.24833926451883837,0.1544095757537839,0.20395203840167087,0.14290990106922175,0.16108487241039682,0.09390656619184246,0.14111236819065165,0.13426367617469082,0.12959910896693616,0.09391754729997293,0.09510684397140357,0.4454049411462333,0.1917321127572864,0.15223199175825797,0.31570824888738,0.2874160884490804,0.12082003327961444,0.0,0.12257396420701605,0.13914940079170068,0.11621569411731825
Dose_F2_2,0.4325561794865248,0.04094608260750243,0.040246610220752155,0.04085244537530852,0.11646207207310255,0.19304808794538308,0.08860671340348591,0.18258516488950438,0.09764181112525705,0.12338681342632951,0.040548635571705405,0.08934221996172265,0.07603809134203043,0.08611691322429771,0.041033920395438406,0.04149916868207082,0.41448820899016825,0.16698265898372455,0.11472833130900295,0.2563635108704576,0.25117186560182736,0.06871114404594847,0.12257396420701605,0.0,0.09483117197266844,0.0654411308471824
Dose_F3_1,0.4322682833613637,0.06158371511220495,0.06073121000680437,0.06170934958655683,0.1323011449117466,0.21047399581875725,0.13298918907223334,0.18968981103625004,0.0982766848748996,0.1155949440714561,0.06087386633202785,0.10768496161865238,0.11078714323623073,0.09142981576803488,0.06192269082624802,0.06210575127401452,0.42602786256144043,0.18046562564731994,0.11268295179731469,0.27443355401998215,0.2644481338034901,0.0860792189033538,0.13914940079170068,0.09483117197266844,0.0,0.07673955158518742
Dose_F3_2,0.4322826322869471,0.029876384167485837,0.028958710698286705,0.029729649320674345,0.10302914744441849,0.17929242183194738,0.10923036211522652,0.17336963357046864,0.06219150662970374,0.10178260086459945,0.02903517921937382,0.0773354527662965,0.0836154433105678,0.055919829351463335,0.029699034924529744,0.03021767481085713,0.4038069363004231,0.15946162572286382,0.09525686352481477,0.2416492039044693,0.24356669220309302,0.05629539460037636,0.11621569411731825,0.0654411308471824,0.07673955158518742,0.0
