,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
type_f2_2,0.5738634955883173,0.020582090564472466,0.007269625491864606,0.014229542810097695,0.11434659992288276,0.23782237279321783,0.0852338065310908,0.16260719978869853,0.04707442909522397,0.07197146783627051,0.0,0.07465576696287501,0.05655467651424262,0.03511918232333844,0.018924039709741214,0.02706461170968888,0.3499206772672413,0.10380197822590809,0.05185681004459575,0.04763288918744879,0.3200635089993742,0.04521306414368942,0.08968381431672068,0.03887284313841399,0.04580360108537329,0.023045851610754342
nb_f3,0.5687354011000858,0.08973848647971583,0.07726444060072102,0.08108404844867856,0.11017825922150237,0.31755559886647944,0.16127724181416592,0.23946091643963652,0.11297118061432809,0.14176651054850653,0.07465576696287501,0.0,0.12850395563146477,0.10122567915021552,0.08373547855266128,0.0965547909547122,0.41622606147509267,0.17704366594524856,0.12103342880483914,0.11696380658984395,0.3806760444809685,0.08671856068724737,0.16383831063791177,0.10753804379575682,0.11378038291766679,0.08904105529426554
type_f3_1,0.5687638386078753,0.07302850127422245,0.05892683205627147,0.06321975372591038,0.17003609178371604,0.29233273680030536,0.08079124529732351,0.18601751493891083,0.09075356267497836,0.11169000638127558,0.05655467651424262,0.12850395563146477,0.0,0.08065569511566151,0.06630366489499684,0.07972286376493731,0.3926135138009803,0.13777202141995304,0.09244899135955886,0.09468407293763459,0.3567620090275936,0.09766936113113078,0.12518738293852782,0.06421409808650558,0.08894332200133592,0.07053474068826993
type_f3_2,0.5682835348426021,0.050859216885018155,0.03778360116264967,0.041704925115032654,0.14146706225727101,0.2631624864279818,0.10729275334752586,0.1749460495713423,0.04299777340065547,0.07801296882976527,0.03511918232333844,0.10122567915021552,0.08065569511566151,0.0,0.04471640887149142,0.056382731218105,0.3691423107577533,0.12119642080264992,0.06289573339030519,0.07535845612458969,0.3386642194905862,0.07224638387458393,0.10895394030952554,0.06383864649537241,0.060482953677807094,0.035432376730789805
Jour_Semis,0.5995347427046911,0.036094464873392185,0.0210724375009832,0.02589692702320867,0.12452366055707409,0.2498547287817814,0.09690118304866091,0.17564726478907322,0.05771434748682169,0.08453392414870697,0.018924039709741214,0.08373547855266128,0.06630366489499684,0.04471640887149142,0.0,0.04116922614783192,0.36997337925068674,0.11558807242520253,0.062053001413903575,0.060242594373182246,0.33567705907257395,0.05486013587600358,0.09940463314727188,0.04971147135988652,0.055852823566023946,0.03309529304984826
Jours_av_PREPA,0.5962831963664355,0.02991493758252306,0.027566982204958013,0.029269018383270118,0.137078627200527,0.25933696139097984,0.10831880593774723,0.18416639566758009,0.06878838610223215,0.09299571040875798,0.02706461170968888,0.0965547909547122,0.07972286376493731,0.056382731218105,0.04116922614783192,0.0,0.3741075785954926,0.12659958395172488,0.07380749154499344,0.06939062052226841,0.34409238255065777,0.06704314497297048,0.11109628204811306,0.06192376402201627,0.06870216849948874,0.045113998288474066
Jours_semis_F1,0.6092624947987322,0.36541373836546254,0.3523672043910697,0.3555682248884796,0.44739846556486373,0.5094927962972755,0.41323609150778273,0.45782171649242454,0.3827628186419407,0.40063495027526397,0.3499206772672413,0.41622606147509267,0.3926135138009803,0.3691423107577533,0.36997337925068674,0.3741075785954926,0.0,0.4274545184085091,0.38758357620123407,0.490546919442181,0.5397001135995985,0.39149581427115177,0.4173282376455091,0.3722294381069521,0.3816747719324548,0.3580776793954512
Jours_F1_F2,0.569180397259504,0.12018903172429163,0.10653806316260916,0.11120551276442892,0.21886835588177667,0.3323943395732474,0.1572907834383247,0.20389601287976078,0.13101527550017755,0.15072095016500942,0.10380197822590809,0.17704366594524856,0.13777202141995304,0.12119642080264992,0.11558807242520253,0.12659958395172488,0.4274545184085091,0.0,0.13585531364242265,0.1507580595082717,0.3935173365460055,0.1421347665973549,0.16111694196822335,0.12396820625621685,0.13193274949897693,0.11319326744730807
Jours_F2_F3,0.5686822196396382,0.0676628940941787,0.054772716245130804,0.05844737889630647,0.1600775316759797,0.2822627465430566,0.11694699077739112,0.17962820954647485,0.06936365610462547,0.08328815508521292,0.05185681004459575,0.12103342880483914,0.09244899135955886,0.06289573339030519,0.062053001413903575,0.07380749154499344,0.38758357620123407,0.13585531364242265,0.0,0.09706389953369077,0.3498967764441103,0.09074825474400094,0.12173449337753128,0.07828568119272317,0.07075128326602498,0.05705033990823205
Jours_op_recolte,0.642813950412683,0.06365486137805543,0.04987349468679869,0.055522154269115,0.15763737124025456,0.283371217108085,0.12426369333659604,0.20339836726965066,0.08792270901290389,0.11532668699065307,0.04763288918744879,0.11696380658984395,0.09468407293763459,0.07535845612458969,0.060242594373182246,0.06939062052226841,0.490546919442181,0.1507580595082717,0.09706389953369077,0.0,0.36634255252521564,0.08635199487288359,0.12958533238732495,0.07756342628891588,0.08634626330934281,0.06285522795963239
Dose_F1_1,0.5689852425677799,0.33557453315480334,0.3219519036678915,0.3268921975077188,0.41029063647866026,0.47964566937468134,0.3766485915665153,0.42548372786396527,0.3493857772833504,0.37150959781052306,0.3200635089993742,0.3806760444809685,0.3567620090275936,0.3386642194905862,0.33567705907257395,0.34409238255065777,0.5397001135995985,0.3935173365460055,0.3498967764441103,0.36634255252521564,0.0,0.3598293039066227,0.38156777096238736,0.34177236431979885,0.34685365440372884,0.3301895582911506
Dose_F1_2,0.5683651220482488,0.06098279298405984,0.04786562752335921,0.05153966486779227,0.11011519296635541,0.284869829812325,0.1281669117462081,0.20317688837237124,0.08481074427467938,0.10970156731481118,0.04521306414368942,0.08671856068724737,0.09766936113113078,0.07224638387458393,0.05486013587600358,0.06704314497297048,0.39149581427115177,0.1421347665973549,0.09074825474400094,0.08635199487288359,0.3598293039066227,0.0,0.13177131796281183,0.07689883392220809,0.08338564663176884,0.05979984505308533
Dose_F2_1,0.568330136552866,0.10423679431434874,0.0919276347331911,0.09567033071467157,0.2094133407579356,0.3219457983859757,0.14580551430823052,0.2008708330434561,0.12020295018441607,0.13920898520341896,0.08968381431672068,0.16383831063791177,0.12518738293852782,0.10895394030952554,0.09940463314727188,0.11109628204811306,0.4173282376455091,0.16111694196822335,0.12173449337753128,0.12958533238732495,0.38156777096238736,0.13177131796281183,0.0,0.11280441752887649,0.12119294466432029,0.10022329003138364
Dose_F2_2,0.5684165322031027,0.05480001936855239,0.04148015628586266,0.04542849285389583,0.15007705723983478,0.26888117791222665,0.08063501712203414,0.17625427345637334,0.07545724857595648,0.09952597214098813,0.03887284313841399,0.10753804379575682,0.06421409808650558,0.06383864649537241,0.04971147135988652,0.06192376402201627,0.3722294381069521,0.12396820625621685,0.07828568119272317,0.07756342628891588,0.34177236431979885,0.07689883392220809,0.11280441752887649,0.0,0.07490450120754821,0.0531185403541542
Dose_F3_1,0.5682426360363004,0.06152589821401311,0.048523368878302,0.05200134076914331,0.1546845676397759,0.2759242295318537,0.11407606391262992,0.17973606683871812,0.06784963497195518,0.08171025390205466,0.04580360108537329,0.11378038291766679,0.08894332200133592,0.060482953677807094,0.055852823566023946,0.06870216849948874,0.3816747719324548,0.13193274949897693,0.07075128326602498,0.08634626330934281,0.34685365440372884,0.08338564663176884,0.12119294466432029,0.07490450120754821,0.0,0.05252679160757523
Dose_F3_2,0.5682412287627949,0.03878467119758866,0.02584157729988168,0.029523080944264812,0.1292719795331202,0.2513009100416803,0.09824685379080622,0.16770173035152003,0.042947319802706274,0.07346938450578144,0.023045851610754342,0.08904105529426554,0.07053474068826993,0.035432376730789805,0.03309529304984826,0.045113998288474066,0.3580776793954512,0.11319326744730807,0.05705033990823205,0.06285522795963239,0.3301895582911506,0.05979984505308533,0.10022329003138364,0.0531185403541542,0.05252679160757523,0.0
