sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
N_lixi,4,Jours_op_recolte,continuous,,79.21760559082031,Jours_op_recolte <= 79.22,Jours_op_recolte > 79.22,354,231,123,2.5793615819209035,2.464865800865801,2.7943902439024395,0.32952444303663864,0.02461987460280876
N_lixi,34,Jours_av_PREPA,continuous,,16.978405952453613,Jours_av_PREPA <= 16.98,Jours_av_PREPA > 16.98,2121,1651,470,3.834468646864688,3.9150963052695333,3.5512425531914884,-0.36385375207804493,0.022835856732046134
N_lixi,3,Jour_Semis,continuous,,264.5932922363281,Jour_Semis <= 264.6,Jour_Semis > 264.6,838,354,484,2.7548042959427237,2.5793615819209035,2.8831239669421485,0.303762385021245,0.022512751342526865
N_lixi,7,Jours_semis_F1,continuous,,209.8431625366211,Jours_semis_F1 <= 209.8,Jours_semis_F1 > 209.8,484,385,99,2.8831239669421485,2.8078961038960997,3.1756767676767677,0.367780663780668,0.022008122027371152
N_lixi,60,Jour_Semis,continuous,,299.8049774169922,Jour_Semis <= 299.8,Jour_Semis > 299.8,263,109,154,4.130258555133081,3.9543302752293554,4.2547792207792225,0.3004489455498671,0.02190670651937223
N_lixi,41,Jour_Semis,continuous,,314.7827453613281,Jour_Semis <= 314.8,Jour_Semis > 314.8,685,574,111,4.433766423357665,4.492400696864123,4.130558558558557,-0.36184213830556544,0.017778372874413362
N_lixi,57,Jour_Semis,continuous,,299.49461364746094,Jour_Semis <= 299.5,Jour_Semis > 299.5,811,310,501,4.654266337854494,4.493058064516125,4.754015968063872,0.2609579035477463,0.016080465652322726
N_lixi,35,Jours_semis_F1,continuous,,228.21255493164062,Jours_semis_F1 <= 228.2,Jours_semis_F1 > 228.2,1651,1411,240,3.9150963052695333,3.8629624379872434,4.221599999999999,0.3586375620127553,0.015979222942581923
N_lixi,29,Jours_av_PREPA,continuous,,24.44603729248047,Jours_av_PREPA <= 24.45,Jours_av_PREPA > 24.45,109,69,40,3.5115045871559625,3.6075942028985506,3.3457500000000002,-0.26184420289855037,0.015927294587274064
N_lixi,45,has_prepa,categorical,0.0,0.5,has_prepa != 0.0,has_prepa == 0.0,111,48,63,4.130558558558557,3.986625,4.240222222222221,0.25359722222222114,0.015784281356116182
