feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.7242516195033,15.353479158175444,233.27764125205834,30.5,30.5,38.76122801983381,32.01305187125563,55.0,55.0,55.0,55.0,55.0,0,0,2.812,-204.5,4.525,10,beauce_5_sa_010
3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,306.0322238972053,11.889961209860118,108.44447759726066,32.15545179665874,30.898580552792016,79.67639642389356,68.99164890949814,12.936102184298162,74.92631959246746,73.90183948468601,11.939888770125979,55.0,0,0,3.088,-180.58999999999997,4.475,11,beauce_5_sa_011
2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,300.14852178506715,17.80690662227973,237.21123560280847,38.686491488984046,30.5,114.20820208351873,89.1438429564295,22.18169073016088,99.74243338799526,86.19038525675373,55.0,55.0,0,0,4.186,-329.738,4.355,12,beauce_5_sa_012
3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,263.04466009371487,6.04114088392694,230.19724801413255,20.616892115037068,44.43147140524561,10.307300838114841,34.4584365091178,25.45305338716385,53.50485090364528,55.0,47.258123198147466,55.0,0,0,2.404,-249.01799999999997,4.59,13,beauce_5_sa_013
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.5825379937145,26.422677617604567,175.0,30.5,30.5,141.89110382962085,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.536,-118.21799999999999,3.5300000000000002,14,beauce_5_sa_014
2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,299.4587068252001,15.5,127.00227441992361,43.75169503822169,30.5,4.110942663954201,49.777153757443635,60.40083177254692,54.0919457043475,97.36566185621821,55.0,55.0,0,0,4.67,-120.816,3.48,15,beauce_5_sa_015
3.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,300.1038620569393,1.4894745470849409,242.92338679623856,31.488802888413787,20.250643139569355,105.73280403985652,92.7028747748098,55.0,88.12100603276976,55.0,42.20774762151932,67.44138805701849,0,0,4.598,-348.488,4.22,16,beauce_5_sa_016
0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.8990950846083,22.77017809452996,175.0,30.5,30.5,199.4720207520797,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.206,-118.646,3.77,17,beauce_5_sa_017
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.6126826550152,15.5,175.0,30.5,30.5,92.10674151664855,55.0,55.0,55.0,55.0,55.0,55.0,0,0,2.684,-125.16599999999998,3.87,18,beauce_5_sa_018
3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,293.40686903980486,15.5,232.91659122487832,58.719391018030706,48.81118683688966,135.00913460378231,32.59726176467068,55.0,33.17952061853465,55.0,24.973207604031984,55.0,0,0,4.742,-352.974,4.205,19,beauce_5_sa_019
